labels:COUNTER,INTERPOLATED,AF3,T7,Pz,T8,AF4,RAW_CQ,GYROX,GYROY,MARKER,MARKER_HARDWARE,SYNC,TIME_STAMP_s,TIME_STAMP_ms,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
104,0,4290.769043,4315.384277,4349.743652,4171.794922,4465.641113,450,8220,8340,0,0,0,2068,105.1282043,3,3,1,0,2
105,0,4447.179199,4470.769043,4492.820313,4232.307617,4205.641113,450,8221,8325,0,0,0,2068,112.8205109,3,3,1,0,2
106,0,4374.871582,4352.820313,4420,4397.94873,4223.589844,450,8212,8342,0,0,0,2068,121.0256348,3,3,1,0,2
107,0,4103.07666,4307.179199,4440.512695,4469.230469,4229.743652,223,8227,8358,0,0,0,2068,128.7179413,3,3,1,0,2
108,0,4096.410156,4406.666504,4455.384277,4420,4157.94873,450,8230,8356,0,0,0,2068,136.9230804,3,3,1,0,2
109,0,4314.871582,4418.461426,4394.871582,4356.922852,4227.692383,450,8223,8343,0,0,0,2068,145.1282043,3,3,1,0,2
110,0,4345.12793,4326.153809,4355.384277,4354.358887,4326.666504,450,8220,8319,0,0,0,2068,152.8205109,3,3,1,0,2
111,0,4224.102539,4175.897461,4250.769043,4324.615234,4323.07666,223,8217,8331,0,0,0,2068,160.5128174,3,3,1,0,2
112,0,4278.974121,4147.179199,4131.281738,4150.256348,4384.615234,450,8229,8308,0,0,0,2068,168.2051239,3,3,1,0,2
113,0,4441.538574,4252.820313,4114.871582,4009.230713,4513.333008,450,8225,8308,0,0,0,2068,175.8974304,3,3,1,0,2
114,0,4425.641113,4255.384277,4178.974121,4087.179443,4556.922852,450,8215,8330,0,0,0,2068,184.1025543,3,3,1,0,2
115,0,4298.461426,4290.769043,4327.692383,4214.358887,4388.717773,223,8217,8315,0,0,0,2068,191.7948608,3,3,1,0,2
116,0,4232.307617,4408.717773,4445.12793,4315.384277,4171.281738,450,8226,8314,0,0,0,2068,200,3,3,1,0,2
117,0,4204.102539,4369.743652,4495.384277,4412.820313,4138.461426,450,8221,8324,0,0,0,2068,207.6923065,3,3,1,0,2
118,0,4192.820313,4226.153809,4459.487305,4340,4234.871582,450,8226,8302,0,0,0,2068,215.384613,3,3,1,0,2
119,0,4156.922852,4220.512695,4357.435547,4268.205078,4325.641113,223,8229,8297,0,0,0,2068,223.5897369,3,3,1,0,2
120,0,4078.974365,4234.358887,4238.461426,4314.871582,4440.512695,450,8222,8281,0,0,0,2068,231.2820435,3,3,1,0,2
121,0,4116.922852,4231.281738,4262.563965,4275.897461,4467.692383,450,8221,8272,0,0,0,2068,238.97435,3,3,1,0,2
122,0,4278.461426,4258.974121,4373.333008,4300.512695,4341.025391,450,8212,8279,0,0,0,2068,247.1794739,3,3,1,0,2
123,0,4301.025391,4119.487305,4229.230469,4392.307617,4363.07666,223,8223,8276,0,0,0,2068,254.8717957,3,3,1,0,2
124,0,4147.692383,3989.743408,4040.512695,4321.025391,4542.05127,450,8237,8274,0,0,0,2068,263.0769043,3,3,1,0,2
125,0,4195.384277,4212.820313,4184.615234,4178.974121,4490.769043,450,8235,8250,0,0,0,2068,270.7692261,3,3,1,0,2
126,0,4480,4476.922852,4439.487305,4142.05127,4305.641113,450,8228,8229,0,0,0,2068,278.9743652,3,3,1,0,2
127,0,4474.871582,4303.589844,4431.794922,4243.07666,4264.102539,223,8233,8218,0,0,0,2068,286.6666565,3,3,1,0,2
128,0,4203.589844,4084.102539,4301.025391,4312.307617,4321.538574,500,8243,8183,0,0,0,2068,294.3589783,3,3,1,0,2
0,0,4069.230713,4064.102539,4193.846191,4267.692383,4390.256348,500,8233,8177,0,0,0,2068,302.0512695,3,3,1,0,2
1,0,4220,4053.333252,4116.410156,4221.538574,4453.333008,500,8243,8170,0,0,0,2068,310.2564087,3,3,1,0,2
2,0,4467.692383,4266.153809,4294.358887,4354.358887,4238.974121,16082,8247,8177,0,0,0,2068,317.9487,3,3,1,0,2
